level,experience
1,42
2,111
3,143
4,181
5,219
6,708
7,802
8,907
9,1012
10,1122
11,1555
12,1705
13,1843
14,1994
15,2162
16,2298
17,2461
18,2652
19,2790
20,3535
21,4200
22,4354
23,4577
24,4784
25,5042
26,5241
27,5437
28,5652
29,5918
30,6144
31,7405
32,7659
33,7978
34,8243
35,8531
36,8751
37,9022
38,9345
39,9648
40,9869
41,12007
42,12298
43,12655
44,12999
45,13312
46,13675
47,13992
48,14336
49,14697
50,15060
51,19639
52,20070
53,20543
54,21008
55,21405
56,21894
57,22296
58,22810
59,23256
60,23694
61,36968
62,37589
63,38333
64,39005
65,39755
66,40493
67,41144
68,41872
69,42529
70,57664
71,60563
72,61556
73,62633
74,63634
75,64458
76,65585
77,66476
78,67431
79,68528
80,69530
81,105771
82,107433
83,108770
84,110381
85,111938
86,113409
87,114975
88,116456
89,117942
90,199204
91,222140
92,245453
93,269362
94,293812
95,318657
96,343708
97,392048
98,440898
99,890804
100,902440
